,SPY,QQQ,EFA,EEM,IWM,VNQ,XLK,XLF,XLE,XLV,XLB,XLY,XLP,IEF,TLT,LQD,HYG,SHY,TIP,BNDX,GLD,SLV,DBC,USO,BTC-USD,ETH-USD
2023-03-24,0.10004304031769418,0.1480368889835031,0.22924623062979688,0.12137641715526803,0.04267405706354377,0.017968099773614243,0.2114141732753938,0.02281649602654423,0.09522725660436748,0.04497531195494342,0.13863953340565982,-0.02001739688717752,0.08741836074399423,0.05069189631141202,0.044693633422765444,0.08645876323609825,0.05652512002291887,0.02667714870027238,0.045144379556099956,0.04551519841534302,0.18744335670462275,0.2216464184287863,-0.04590540040193092,-0.08701509436420019,0.40464996813819054,0.31175212472252856
2023-03-27,0.11940983322454568,0.15983825077615843,0.24528730661418208,0.11944345166808423,0.06200199960345576,0.005517140252733421,0.22551340232415873,0.04657236566476031,0.12757711426561502,0.063885203696328,0.15012517930392555,0.0017053492420224803,0.11256202137018767,0.040456337777016405,0.033496137725588015,0.0761813389521564,0.058812698075908276,0.023203601822491038,0.04408313438462019,0.035031172107580666,0.17637550334421714,0.21257138933454245,-0.015841613137116184,-0.01731000726942933,0.3966747263766002,0.291783441943648
2023-03-28,0.08816833157496351,0.12723245366661318,0.22161531911424182,0.11719529425300323,0.033098570754154455,-0.014489127221924969,0.18310507341883042,0.018724357885259835,0.08376560024781798,0.036172654235335555,0.11925413731508905,-0.0004772701725334061,0.09565171229306935,0.027628076003600066,0.01918377596362686,0.05487595140303125,0.044546540256138245,0.0198446556512899,0.03403108500401597,0.02579118071604758,0.15786158506493586,0.12198952236496052,-0.03305146378029011,-0.04919717731504192,0.3895594356797114,0.3395293357612621
2023-03-29,0.07080398136374355,0.11279879633597756,0.18872283883179208,0.08484700717879967,0.004997811777642802,-0.012613050446952823,0.16866866092971589,-0.0034319328675106453,0.05351670773346773,0.015448325876559421,0.09458448576128475,-0.015873698764670152,0.08529573239624022,0.023743726650588437,0.019984827192845334,0.05489188597517902,0.03534506045505825,0.019095671769152833,0.031937640113273824,0.022394298874089946,0.13584320003494232,0.10743800920098656,-0.06447684711657409,-0.08722250085217342,0.3939449874688643,0.3163254049073261
2023-03-30,0.07958746931180927,0.12392924536200955,0.21546987963696895,0.0950639669067872,0.011091259941557352,0.020282831345189933,0.17833745242455779,0.002125798335494755,0.03672325950033972,0.017568703874258684,0.11463753996693438,-0.0013984119140132423,0.09473460474609974,0.03510757180156676,0.034570303752173404,0.06439847107833052,0.045600403829585634,0.020223876685512954,0.041172180105227385,0.02860010965147608,0.1524935579093063,0.15534496042628199,-0.07425616193421836,-0.09202116377427005,0.3905042555007432,0.3251684962574133
2023-03-31,0.10621527657402097,0.15168843640543805,0.2434067463988745,0.10028660866438743,0.03548473401520513,0.07193143517117773,0.2050650699729717,0.027565211942646828,0.025672773655058156,0.041752319654721815,0.14484169192382623,0.03259236945225852,0.11994498374912266,0.046541726694131036,0.055938291776538085,0.07649257365534368,0.06011704288269426,0.022726087100366943,0.04986424169625048,0.03371583433616432,0.14777921202977162,0.1617646940969566,-0.07140974908401243,-0.08973826022831743,0.4271035657857687,0.3479391330639263
2023-04-03,0.14229361538318996,0.19440071344668053,0.2736060323003131,0.12602102947334748,0.06734529112219789,0.08964023173165869,0.2547546054353935,0.05447838987902642,0.08049643259189132,0.07618645195236362,0.1812723387114561,0.05957663963337456,0.14288987074512116,0.05666197737531253,0.07130419299497626,0.09388547427763383,0.07237191237433982,0.025237278999356016,0.051443247034896666,0.04199461283894723,0.168862348484907,0.19243240356445312,-0.0659601581688678,-0.06431427335806228,0.4217237692255196,0.3585546472744221
2023-04-04,0.14469588755904006,0.20239134734147557,0.28099591782148514,0.14203855063390924,0.054506196630689674,0.09854054181448291,0.2691805199137418,0.04941334984088286,0.08314888804644838,0.08315248698793809,0.1617363796581428,0.06444457819302496,0.13650532206931976,0.06975731964981091,0.09363255453227115,0.10520665625008463,0.08244061280743109,0.027991019006597506,0.06052417102630403,0.046388820895953975,0.2090301060784212,0.2697622509455029,-0.05659487753622161,-0.0475738979981577,0.471572908971434,0.448889167017531
2023-04-05,0.1489753693472149,0.20710418772225125,0.28622433559043015,0.15142906148828073,0.043851260324991426,0.08166686495922759,0.27423710731010287,0.06156149111592257,0.10831122764784062,0.09600215258182776,0.16818449891923626,0.05121529324742835,0.1324800225429703,0.07153230708193958,0.10019691296984035,0.11112006653997009,0.07305959402716189,0.028857451137477952,0.056971272164881404,0.052979446292308996,0.21055682777689588,0.2975113200276349,-0.03923970250830189,-0.021045325940494353,0.47904919314773764,0.49198991364859035
2023-04-06,0.15727460132655913,0.21565875123419898,0.2965076675368574,0.15478971227509275,0.04828928208374017,0.10057353937306224,0.28541572959748995,0.06802106360227755,0.08276675363627062,0.10412581520155695,0.1742443133538909,0.048709819059557846,0.1273509805728532,0.06836239468875815,0.09765668756161294,0.11143061651500563,0.07600438276113941,0.02746842460933019,0.057249758963844766,0.05122775259005219,0.19552534730397597,0.3013075151270421,-0.042019886081793856,-0.009445906754020128,0.4638768461837415,0.4463768561331758
